Ticker,Date,c_open,c_high,c_low,n_close,n_adj_close,Adj Close,Normalized_MA_5,Normalized_MA_10,Normalized_MA_15,Normalized_MA_20,Normalized_MA_25,Normalized_MA_30,Class
V,2014-01-03,0.2667733719158516,0.6013745595700115,-0.42051364766659827,0.06787385309032778,0.06787868954025722,52.199055,-0.03346650624231895,-0.7759159624633138,-2.2852301317204726,-3.873900016006049,-4.703931211015222,-5.404540944275727,0
V,2014-01-06,0.6141072647045442,1.12814265568848,-0.10917709138880127,-0.6013763682152784,-0.6013672086592314,51.885147,0.5858967692623063,-0.0050170427386642125,-1.196998439649788,-2.8801949814269756,-3.8391619088985363,-4.5030389268564175,-1
V,2014-01-07,-0.3430978347360947,0.2708699430431283,-0.4740138228344404,0.7642250830186992,0.7642090712395966,52.281658,-0.12278531794076564,-0.5132901485258912,-1.520468740043901,-3.173442873598231,-4.242514420640598,-4.927840913792991,1
V,2014-01-08,-0.3600036000360074,0.3510035100350972,-0.7110071100711046,0.32052910153996805,0.3205407142979233,52.449242,-0.4833095586014302,-0.6426144347329021,-1.4010215819706184,-3.018639239819698,-4.240851755302777,-4.9301083003894135,0
V,2014-01-09,0.7390383355587726,1.176152473053893,-0.11265828285956792,-0.139499594995951,-0.13950630592525215,52.376072,-0.2631682650810374,-0.36050870710578886,-1.0031114971737476,-2.3766429067074712,-3.7436844061158436,-4.497172996605537,0
V,2014-01-10,0.3210744752665917,0.7280784926861239,-0.5064930039977766,-0.3514938425218439,-0.3514906577950394,52.191975,0.08592087193481923,0.03300756486031009,-0.4796636519950215,-1.6825009017190862,-3.0715040003755467,-3.8948498627742523,0
V,2014-01-13,1.4253138940270027,2.416634167807552,-0.1324769349466126,-1.0084619724422428,-1.0084787939141915,51.66563,1.020572864397451,1.0169195652893537,0.6200854739730532,-0.3277598666657222,-1.769927203055488,-2.68873252876235,-1
V,2014-01-14,-1.756114143493881,0.0,-1.9402614665263385,1.713111072201401,1.7131272762956673,52.550728,-0.5784859916688312,-0.6063310864123483,-0.8746163643378324,-1.663148891105748,-3.051068217361319,-4.040423886547617,1
V,2014-01-15,-0.4066803790968909,0.5094726583745546,-0.8625295113072751,0.4985421243581367,0.4985316283344421,52.81271,-0.934030842196909,-1.0511174298762582,-1.1956186304395322,-1.7932078281913677,-3.1356741966091173,-4.238910166384824,0
V,2014-01-16,0.6403030050899039,0.8973224350034226,-0.21644586343606553,-0.889342168204188,-0.8893408423843563,52.343025,-0.05771810093129215,-0.12895853841078386,-0.21763994979910883,-0.7198865560406498,-1.8635499954387402,-3.078713480290185,-1
V,2014-01-17,-4.362989210543167,0.03445774948600544,-4.367301382282751,4.694046900950588,4.694052359411782,54.800034,-3.5868747818660007,-4.13213593991566,-4.347486353749341,-4.808766815728605,-5.806699462996678,-7.001606544015404,1
V,2014-01-21,1.0606683416778617,1.5392610370115412,-0.47858579670023715,-0.1076750833896134,-0.10767511567602028,54.741028,-2.3593327476422177,-3.507091244249172,-3.8919761122011454,-4.364461241027473,-5.213812133743612,-6.467036388136515,0
V,2014-01-22,-0.25323489843795954,0.3562401758660849,-0.5622610315934362,0.4570396397892251,0.4570502402695187,54.991222,-1.9159752441944344,-3.4533791593138297,-3.9835866895265637,-4.4343222632877595,-5.205042215646715,-6.447356573866758,0
V,2014-01-23,1.4939776560788598,1.7875136911281508,-0.2584867469879626,-2.0344237600854354,-2.0344246941811917,53.872467,0.5143410269293769,-1.1842373953284913,-1.8269524084229105,-2.225858062152608,-2.8772049366144747,-4.115234287179281,-1
V,2014-01-24,2.3276800000000097,2.5807945762711837,0.0,-3.066812705366917,-3.066813331566942,52.220299,3.647453263337308,1.9123077024128188,1.2863206062199373,0.9245116539834619,0.34024064090478756,-0.7528525768622396,-1
V,2014-01-27,2.705581352326325,2.705581352326325,-0.5087429469984306,-2.2734463276836148,-2.273458832550912,51.033092,4.582378821961242,4.056057391153178,3.4902776418093584,3.180330323704461,2.690596995377037,1.7187779516344648,-1
V,2014-01-28,-1.5115911835050233,0.6335951979147492,-1.6111585224055536,2.1922153362316177,2.1922304844864016,52.151855,1.345938701509275,1.9170765833737002,1.3042951843867057,0.9960948656572155,0.576017938383977,-0.19899413613060357,1
V,2014-01-29,0.911943642445534,1.6672844817112065,-0.28555453731676783,-1.7378764758191,-1.7378883263116873,51.245514,1.6765006981879438,3.4649093382105534,2.9611935723128147,2.6950585372214064,2.3760173036804666,1.715951761162926,-1
